Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Ticket_type,Words_Count,Has_Cabin,FamilySize,IsAlone,Title
1,3,0,1,2,2,1,50,5,0,3,0,3
0,3,0,1,0,1,0,69,3,0,1,1,2
1,2,0,0,2,2,0,133,4,0,3,0,2
0,1,1,2,0,2,0,3,4,1,1,1,5
1,1,0,1,0,3,1,137,3,0,1,1,2
0,3,1,1,0,2,0,89,4,0,1,1,1
1,1,0,1,2,3,1,13,4,1,3,0,2
1,1,0,2,2,3,0,153,4,1,3,0,2
0,3,0,0,2,3,0,81,4,0,7,0,2
0,3,0,0,2,3,0,81,4,0,7,0,2
1,2,1,1,0,2,0,62,3,0,2,0,1
0,1,1,3,0,3,1,137,4,1,2,0,1
0,1,1,3,0,2,0,112,4,0,1,1,1
1,2,0,1,0,2,0,62,5,0,2,0,3
1,2,1,2,0,1,1,144,5,0,1,1,1
0,3,1,2,1,2,0,88,4,0,3,0,1
1,2,1,0,1,3,0,130,5,0,3,0,4
1,1,1,1,2,3,1,18,5,1,3,0,1
0,2,1,1,0,2,0,43,5,0,1,1,1
0,3,1,1,0,0,2,72,3,0,1,1,1
1,3,1,1,0,0,1,46,5,0,1,1,1
1,3,0,1,0,0,0,81,3,0,1,1,2
0,1,1,3,0,2,0,3,3,0,1,1,1
1,1,0,2,0,3,1,5,8,1,2,0,5
0,1,1,1,0,3,1,137,3,0,1,1,1
1,1,0,2,1,3,0,0,5,1,3,0,3
1,3,0,2,0,2,0,79,6,0,2,0,3
0,3,1,1,0,0,2,96,4,0,1,1,1
0,3,1,2,0,0,0,83,3,0,1,1,1
0,2,1,1,0,1,0,25,4,0,1,1,1
0,3,1,2,0,1,0,147,3,0,1,1,1
0,3,0,1,0,1,0,147,4,0,1,1,2
0,3,1,1,0,2,0,123,4,0,3,0,1
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,0,1,4,2,0,83,6,0,5,0,3
0,3,1,1,0,0,1,52,3,0,1,1,1
1,3,1,1,0,0,0,84,3,0,1,1,1
1,2,1,3,0,1,0,142,3,0,1,1,1
1,1,0,3,0,3,0,5,6,1,3,0,3
1,1,1,2,0,2,0,137,5,1,1,1,1
1,3,0,1,0,0,2,14,3,0,1,1,2
0,3,1,0,0,1,0,123,5,0,1,1,1
0,3,1,1,0,2,0,86,3,0,1,1,1
1,2,0,2,0,1,0,42,3,0,1,1,2
1,1,0,2,0,3,0,13,6,1,2,0,3
0,3,0,1,0,2,1,52,5,0,2,0,3
1,3,1,1,0,1,0,148,3,0,1,1,1
1,2,0,1,1,2,0,38,4,0,3,0,2
1,1,0,2,1,3,1,18,7,1,3,0,3
0,2,1,3,0,2,0,59,4,0,1,1,1
0,1,1,2,0,3,1,11,4,1,1,1,1
0,3,1,1,0,1,1,76,3,0,1,1,1
1,1,0,1,2,3,0,0,3,1,3,0,2
0,2,1,2,0,2,0,38,4,0,1,1,1
1,1,1,3,1,3,1,13,3,1,3,0,1
0,3,1,1,0,1,0,15,3,0,1,1,1
0,3,1,1,0,1,0,121,3,0,1,1,1
0,3,1,2,0,0,0,148,3,0,1,1,1
1,1,0,3,0,3,1,93,6,1,2,0,3
0,3,1,2,0,0,0,124,4,0,1,1,1
0,3,0,1,2,0,2,89,3,0,3,0,2
0,2,1,2,0,2,0,144,4,0,2,0,1
0,3,1,2,1,2,0,79,5,0,3,0,1
1,2,0,2,0,3,0,44,4,0,1,1,2
0,3,1,3,0,0,0,135,3,0,1,1,1
0,3,1,2,0,0,1,50,3,0,1,1,1
1,1,1,3,0,3,1,137,7,1,2,0,5
1,2,0,1,1,2,0,42,7,0,4,0,3
0,3,1,2,0,0,0,83,3,0,1,1,1
0,1,1,1,0,3,0,3,4,0,1,1,1
0,3,1,2,0,1,0,89,4,0,1,1,1
1,1,1,2,0,2,1,1,6,0,1,1,1
0,3,1,2,0,2,0,83,4,0,2,0,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,1,1,1,0,2,0,3,4,0,1,1,1
1,2,0,1,2,3,1,144,7,0,4,0,3
1,1,0,2,0,3,0,137,4,1,1,1,2
0,3,0,2,5,3,0,81,7,0,7,0,3
0,3,1,1,0,0,0,147,4,0,1,1,1
1,3,0,2,0,2,2,91,4,0,2,0,2
0,3,1,1,0,0,2,94,3,0,1,1,1
0,3,1,2,0,1,0,89,4,0,1,1,1
1,2,0,1,2,3,0,27,3,0,4,0,2
0,3,1,2,1,1,0,81,4,0,3,0,1
0,3,0,1,0,2,0,124,7,0,2,0,3
1,2,0,0,1,3,0,33,4,1,4,0,2
0,2,1,1,0,1,0,66,3,0,1,1,1
0,3,1,1,0,2,1,49,3,0,2,0,1
1,1,1,2,0,3,0,5,5,1,2,0,1
1,3,1,1,1,2,1,49,3,0,3,0,1
0,3,1,1,0,0,0,84,4,0,1,1,1
0,3,1,1,0,2,0,108,5,0,1,1,1
0,1,1,3,0,3,0,93,3,1,1,1,1
0,2,1,3,0,1,2,26,4,0,1,1,5
1,1,0,1,0,3,0,13,4,1,1,1,2
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,1,1,0,0,2,73,4,0,1,1,1
1,1,1,4,0,2,0,54,5,1,1,1,1
0,3,1,3,0,0,0,81,4,0,1,1,1
1,1,1,1,0,2,1,12,3,1,1,1,5
0,1,1,2,0,0,0,2,5,0,1,1,1
0,3,0,0,2,2,0,81,3,0,6,0,2
1,2,0,1,0,1,0,38,3,0,1,1,2
0,3,1,1,0,1,0,148,4,0,1,1,1
0,2,1,1,1,2,0,130,3,0,3,0,1
0,3,0,2,5,3,0,66,6,0,6,0,3
0,3,1,1,0,2,0,99,3,0,2,0,1
0,3,1,1,0,0,0,84,4,0,1,1,1
1,1,0,1,0,3,1,137,3,1,1,1,2
0,3,0,0,2,2,0,81,4,0,6,0,2
1,3,1,1,0,3,0,16,3,0,1,1,1
1,3,0,0,1,2,1,50,3,0,4,0,2
1,1,1,2,0,3,1,137,4,1,2,0,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,1,1,3,0,3,1,12,4,1,1,1,5
0,3,1,1,0,0,0,140,3,0,1,1,1
1,3,0,1,0,0,0,132,5,0,1,1,2
0,3,1,2,0,0,0,83,3,0,1,1,1
1,2,0,1,1,2,0,34,3,0,2,0,2
0,3,1,1,0,1,0,119,4,0,1,1,1
1,3,0,2,0,0,2,72,4,0,1,1,2
0,3,0,1,0,0,2,90,4,0,1,1,2
0,2,1,1,0,3,0,140,4,0,3,0,1
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,0,1,1,2,2,89,4,0,3,0,3
0,2,1,1,0,1,0,65,4,0,1,1,1
0,1,1,3,2,3,1,85,4,1,3,0,1
1,1,1,3,0,3,0,137,4,0,3,0,5
0,3,1,2,0,0,1,46,3,0,1,1,1
0,1,1,2,0,2,0,109,4,1,1,1,1
0,3,1,2,0,0,0,83,3,0,1,1,1
1,3,1,1,0,1,0,148,4,0,2,0,1
0,2,1,1,0,3,0,140,3,0,3,0,1
0,2,1,1,0,1,0,36,4,0,1,1,1
0,3,1,1,0,0,0,67,4,0,1,1,1
0,3,1,2,0,1,0,124,3,0,1,1,1
1,1,0,2,0,3,0,21,7,1,2,0,3
1,2,0,2,1,3,0,65,8,0,3,0,3
0,1,1,1,0,3,0,133,3,1,2,0,1
0,2,1,4,0,1,0,130,4,0,1,1,1
1,2,1,1,0,1,0,43,3,0,1,1,1
0,2,1,1,0,0,0,39,4,0,1,1,1
0,3,1,1,0,0,0,83,4,0,1,1,1
0,3,1,1,0,1,0,77,4,0,1,1,1
1,3,0,1,0,1,0,106,4,0,1,1,2
0,3,0,2,6,3,0,131,5,0,8,0,3
1,1,1,2,1,3,1,137,5,1,2,0,1
0,3,0,1,0,1,2,72,3,0,1,1,2
1,1,1,1,0,3,1,137,3,1,1,1,1
0,3,1,1,0,1,0,111,4,0,1,1,1
0,3,1,0,2,3,0,131,4,0,8,0,1
0,2,1,3,1,3,0,65,5,0,3,0,1
0,2,1,1,2,3,1,144,5,0,4,0,1
0,3,1,0,1,3,0,66,4,0,6,0,1
0,3,1,1,0,1,0,83,3,0,1,1,1
0,3,1,1,0,0,0,84,4,0,1,1,1
1,1,0,0,1,3,0,41,4,1,2,0,2
1,1,1,1,0,3,0,18,4,1,2,0,1
1,3,0,0,1,1,1,83,3,0,2,0,2
1,3,1,1,0,3,0,16,3,0,1,1,1
0,3,1,1,0,0,1,51,3,0,1,1,1
0,1,1,3,0,2,0,3,3,0,1,1,5
0,2,1,3,0,1,0,44,4,0,1,1,1
0,3,1,2,0,1,0,88,3,0,1,1,1
1,3,0,1,0,0,2,86,4,0,1,1,2
0,1,1,3,1,3,1,18,4,1,3,0,1
0,3,1,2,0,0,0,82,6,1,1,1,1
1,1,0,1,0,3,1,137,7,1,2,0,3
1,1,1,2,0,2,0,137,4,1,1,1,1
0,3,0,1,1,2,1,53,3,0,2,0,2
0,3,1,1,0,0,2,92,3,0,1,1,1
0,3,1,1,0,0,0,84,4,0,2,0,1
0,2,1,2,0,2,0,45,7,0,1,1,1
1,2,0,2,0,1,0,29,4,0,1,1,3
1,1,1,2,0,2,0,137,4,1,1,1,1
1,1,0,1,0,3,0,3,3,0,1,1,2
1,3,1,2,1,2,1,50,6,0,3,0,4
1,1,0,1,0,3,1,137,7,1,1,1,2
0,1,1,1,0,2,0,3,3,1,1,1,1
1,1,1,2,0,3,0,21,4,1,2,0,1
0,3,1,1,0,1,0,116,4,0,1,1,1
0,2,1,3,0,1,0,45,3,0,1,1,1
0,3,1,1,0,0,0,82,6,1,1,1,1
1,1,0,2,0,3,1,137,4,1,1,1,2
1,2,0,1,0,1,0,77,5,1,1,1,2
0,3,1,1,0,2,2,90,3,0,1,1,1
0,3,1,2,0,0,0,81,4,0,1,1,1
1,2,0,0,1,3,0,44,5,0,2,0,2
0,3,1,1,0,0,0,84,4,0,2,0,1
0,2,1,2,0,1,0,8,4,0,1,1,1
0,2,1,3,0,1,0,45,4,0,1,1,1
1,1,1,1,0,3,0,3,4,1,2,0,1
0,3,1,1,0,1,0,69,3,0,1,1,1
1,2,0,1,0,2,0,66,6,0,4,0,3
1,3,0,0,0,0,2,92,3,0,1,1,2
0,2,1,1,0,2,0,37,5,0,2,0,1
0,3,0,1,0,1,0,148,4,0,2,0,2
1,1,0,1,0,3,0,41,4,1,1,1,2
0,3,1,0,0,2,1,53,5,0,1,1,1
0,2,1,2,0,0,0,39,4,0,1,1,1
0,2,1,1,0,1,0,59,4,0,1,1,1
0,2,1,1,0,1,0,35,4,0,1,1,1
0,3,1,1,0,2,0,108,3,0,1,1,1
0,3,0,2,3,3,0,150,6,0,5,0,3
1,1,1,2,0,3,1,137,4,1,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,1,0,0,0,0,83,3,0,1,1,1
1,1,1,0,0,2,0,17,4,1,1,1,1
0,1,1,2,0,3,0,20,4,1,2,0,1
1,1,0,1,2,3,1,137,5,1,5,0,2
0,3,1,1,0,2,0,99,3,0,2,0,1
1,3,1,1,0,1,0,148,3,0,1,1,1
0,1,1,4,1,3,0,153,4,1,3,0,5
0,3,1,0,1,2,0,130,4,0,3,0,1
1,2,0,1,0,1,0,45,3,0,1,1,2
0,1,1,1,0,3,0,3,4,1,2,0,1
0,3,1,1,0,0,2,74,3,0,1,1,1
1,2,0,0,1,2,0,63,3,0,3,0,2
1,3,1,0,1,1,0,104,3,1,2,0,4
0,3,1,2,0,1,0,79,5,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,2,0,2,2,3,0,27,5,0,4,0,3
1,2,1,0,1,2,0,45,3,0,3,0,4
0,3,1,1,0,0,0,84,4,0,1,1,1
0,2,1,1,0,1,0,63,4,0,1,1,1
0,3,1,2,0,1,0,88,4,0,1,1,1
1,1,0,2,0,3,0,0,8,1,1,1,5
0,3,1,1,0,2,0,86,3,0,1,1,1
0,3,1,2,0,0,0,147,5,0,1,1,1
1,3,1,1,0,0,1,50,4,0,1,1,1
1,1,0,2,2,3,0,3,6,1,4,0,3
0,3,1,0,0,0,0,81,4,0,1,1,1
1,1,0,3,0,3,0,13,6,1,2,0,3
0,1,1,1,0,3,1,2,4,0,1,1,5
0,3,0,1,0,0,2,89,3,0,1,1,2
0,3,1,1,0,2,2,95,4,0,2,0,1
0,3,1,1,0,1,0,119,4,0,1,1,1
0,3,1,1,0,1,0,79,4,0,1,1,1
0,3,1,2,0,0,0,84,4,0,1,1,1
0,2,0,3,0,1,0,140,3,1,1,1,3
0,3,1,1,0,0,1,51,3,0,1,1,1
1,2,0,3,3,2,0,63,5,0,5,0,3
0,3,1,1,0,0,0,81,6,0,1,1,1
0,3,1,2,0,0,2,101,3,1,1,1,1
1,3,0,0,0,1,0,89,4,0,1,1,2
0,3,1,1,0,0,2,92,4,0,1,1,1
1,1,0,2,1,3,0,41,7,1,2,0,3
1,3,0,0,0,0,1,52,3,0,1,1,2
1,1,0,1,0,3,0,18,6,1,2,0,3
0,1,1,1,0,2,0,3,4,1,1,1,1
0,3,1,1,2,2,0,150,4,0,4,0,1
0,3,1,1,0,0,0,147,3,0,1,1,1
0,3,1,1,0,0,0,98,5,0,1,1,1
1,3,0,1,0,0,0,66,4,0,1,1,2
0,3,1,0,1,2,2,100,4,0,6,0,4
1,3,1,0,2,2,0,130,4,0,4,0,4
0,1,1,2,0,3,1,137,3,1,1,1,1
0,3,1,2,0,0,2,9,4,0,1,1,1
0,2,1,0,0,2,0,39,3,0,1,1,1
0,3,0,1,2,3,0,132,4,0,11,0,2
0,1,1,1,0,2,1,137,4,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
0,2,1,2,0,1,0,58,3,0,1,1,1
1,1,0,3,0,2,0,18,4,1,1,1,5
1,3,0,1,0,1,0,83,3,0,1,1,3
0,3,1,1,0,0,1,52,4,0,1,1,1
0,3,0,1,1,2,0,79,8,0,3,0,3
0,2,1,2,0,1,0,45,3,0,1,1,1
1,2,0,1,1,2,0,130,6,0,3,0,3
1,1,1,0,2,3,0,3,5,1,4,0,4
1,3,1,0,1,1,1,46,4,0,2,0,4
1,3,1,1,0,0,0,81,4,0,1,1,1
0,3,1,1,0,0,0,81,4,0,1,1,1
0,1,1,2,0,0,0,2,4,1,1,1,1
0,3,0,1,0,0,0,81,4,0,1,1,2
0,2,1,2,0,1,0,44,3,0,1,1,1
1,1,0,2,0,3,0,3,6,1,2,0,3
0,3,1,1,0,0,0,81,3,0,1,1,1
0,3,1,2,0,2,0,123,3,0,1,1,1
0,2,1,2,0,1,0,58,4,0,1,1,1
0,3,0,0,2,3,0,81,5,0,7,0,2
0,3,1,1,0,1,0,89,4,0,1,1,1
0,1,1,2,0,0,0,2,3,1,1,1,1
0,3,0,1,0,1,0,148,4,0,1,1,2
0,2,1,1,1,3,1,139,3,0,3,0,1
0,3,1,2,0,0,0,129,5,0,1,1,1
0,3,1,0,2,2,0,81,4,0,6,0,4
1,1,0,3,1,3,0,10,7,1,3,0,3
1,3,1,1,0,1,0,69,3,0,1,1,1
0,1,1,2,0,0,0,21,4,0,1,1,5
1,3,0,1,1,1,0,104,3,1,2,0,3
0,3,1,0,1,3,0,66,4,0,6,0,4
0,3,1,1,0,0,2,92,3,0,1,1,1
0,3,1,1,0,3,0,16,3,0,1,1,1
1,2,1,0,2,3,1,139,3,0,3,0,4
1,3,1,1,0,0,2,91,4,0,1,1,1
1,1,0,3,0,3,0,3,6,1,1,1,3
1,3,0,0,0,2,1,49,5,0,2,0,3
1,2,1,0,1,2,0,63,4,0,3,0,4
0,3,1,1,0,0,1,51,3,0,1,1,1
0,3,1,1,0,0,0,81,3,0,1,1,1
0,3,1,1,0,1,0,28,4,0,1,1,1
1,1,0,2,1,3,1,137,4,1,3,0,2
0,3,1,1,0,1,0,69,3,0,1,1,1
0,3,1,2,0,1,0,104,3,0,1,1,1
1,3,1,1,0,3,0,16,3,0,1,1,1
1,1,1,1,0,2,1,5,3,1,1,1,1
0,3,1,1,0,1,0,147,4,0,1,1,1
0,2,1,0,0,1,0,140,4,0,1,1,1
1,1,0,1,0,2,1,3,3,0,1,1,2
0,3,1,2,0,0,1,52,4,0,1,1,1
0,3,1,1,0,1,0,69,3,0,1,1,1
0,3,1,2,0,0,0,130,3,0,1,1,1
0,3,1,0,2,3,0,132,4,0,11,0,1
0,3,1,2,0,0,1,83,3,0,1,1,1
0,2,1,1,1,3,0,44,3,0,2,0,5
1,1,0,2,0,3,1,18,6,1,2,0,3
0,3,1,0,2,3,0,81,5,0,7,0,4
0,3,1,4,0,0,0,81,3,0,1,1,1
0,3,0,0,1,2,1,51,3,0,3,0,2
1,1,0,0,1,3,0,137,4,1,2,0,2
0,2,0,2,0,2,0,43,6,0,2,0,3
1,3,0,1,1,1,0,104,5,0,2,0,3
1,1,0,2,1,3,0,93,6,0,3,0,3
1,1,1,3,0,2,0,3,4,1,1,1,1
1,3,0,1,3,2,1,50,5,0,4,0,3
0,3,1,1,0,0,1,46,3,0,1,1,1
0,3,1,2,0,1,0,84,4,0,3,0,1
0,2,1,1,0,1,0,57,4,0,2,0,1
1,1,0,2,0,2,0,18,7,1,1,1,3
0,3,0,1,2,3,0,132,5,0,11,0,2
0,2,1,1,0,1,0,35,4,0,1,1,1
1,2,0,2,0,1,0,37,3,0,1,1,3
1,2,0,1,0,1,1,144,5,0,2,0,2
0,1,1,1,0,3,0,137,5,1,1,1,1
0,3,1,1,0,1,0,79,4,0,1,1,1
1,3,1,0,1,1,0,81,4,0,3,0,4
0,3,1,1,0,0,0,83,3,0,1,1,1
1,1,0,2,1,3,0,5,6,1,3,0,3
0,1,1,2,0,0,0,113,4,1,1,1,1
0,3,1,2,0,1,0,79,4,0,1,1,1
1,2,0,1,0,2,1,136,5,0,2,0,3
1,3,0,0,0,0,1,50,5,0,1,1,2
0,3,1,1,0,1,0,115,4,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,1,0,3,1,3,1,5,7,1,2,0,3
1,2,0,1,1,2,0,33,6,0,2,0,3
0,3,1,2,0,0,0,83,3,0,1,1,1
0,3,0,1,0,1,0,117,4,0,1,1,2
0,2,1,1,0,1,0,130,4,0,1,1,1
0,3,1,1,0,0,0,147,4,0,1,1,1
0,3,0,2,5,2,2,100,5,0,6,0,3
0,2,1,1,0,1,0,23,3,0,1,1,5
1,1,0,1,0,2,0,2,4,1,1,1,2
0,3,0,2,2,2,0,150,5,0,4,0,2
1,1,1,1,0,2,1,1,4,1,1,1,1
0,3,1,1,0,0,2,94,3,0,1,1,1
